statistic_label,month,property_type,unit,value
Residential Property Price Index,2005 August,West - houses,Base 2015=100,
Residential Property Price Index,2005 August,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 August,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 August,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 August,South-West - houses,Base 2015=100,
Residential Property Price Index,2005 September,National - all residential properties,Base 2015=100,135.2
Residential Property Price Index,2005 September,National - houses,Base 2015=100,131.3
Residential Property Price Index,2005 September,National - apartments,Base 2015=100,158.3
Residential Property Price Index,2005 September,Dublin - all residential properties,Base 2015=100,130.0
Residential Property Price Index,2005 September,Dublin - houses,Base 2015=100,123.8
Residential Property Price Index,2005 September,Dublin - apartments,Base 2015=100,153.8
Residential Property Price Index,2005 September,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 September,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 September,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 September,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 September,National excluding Dublin - all residential properties,Base 2015=100,152.7
Residential Property Price Index,2005 September,National excluding Dublin - houses,Base 2015=100,150.1
Residential Property Price Index,2005 September,National excluding Dublin - apartments,Base 2015=100,197.2
Residential Property Price Index,2005 September,Border - houses,Base 2015=100,
Residential Property Price Index,2005 September,Midland - houses,Base 2015=100,
Residential Property Price Index,2005 September,West - houses,Base 2015=100,
Residential Property Price Index,2005 September,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 September,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 September,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 September,South-West - houses,Base 2015=100,
Residential Property Price Index,2005 October,National - all residential properties,Base 2015=100,138.1
Residential Property Price Index,2005 October,National - houses,Base 2015=100,134.1
Residential Property Price Index,2005 October,National - apartments,Base 2015=100,161.4
Residential Property Price Index,2005 October,Dublin - all residential properties,Base 2015=100,133.7
Residential Property Price Index,2005 October,Dublin - houses,Base 2015=100,127.7
Residential Property Price Index,2005 October,Dublin - apartments,Base 2015=100,156.2
Residential Property Price Index,2005 October,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 October,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 October,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 October,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 October,National excluding Dublin - all residential properties,Base 2015=100,155.3
Residential Property Price Index,2005 October,National excluding Dublin - houses,Base 2015=100,152.5
Residential Property Price Index,2005 October,National excluding Dublin - apartments,Base 2015=100,205.0
Residential Property Price Index,2005 October,Border - houses,Base 2015=100,
Residential Property Price Index,2005 October,Midland - houses,Base 2015=100,
Residential Property Price Index,2005 October,West - houses,Base 2015=100,
Residential Property Price Index,2005 October,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 October,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 October,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 October,South-West - houses,Base 2015=100,
Residential Property Price Index,2005 November,National - all residential properties,Base 2015=100,139.3
Residential Property Price Index,2005 November,National - houses,Base 2015=100,135.3
Residential Property Price Index,2005 November,National - apartments,Base 2015=100,163.4
Residential Property Price Index,2005 November,Dublin - all residential properties,Base 2015=100,135.4
Residential Property Price Index,2005 November,Dublin - houses,Base 2015=100,129.5
Residential Property Price Index,2005 November,Dublin - apartments,Base 2015=100,157.8
Residential Property Price Index,2005 November,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 November,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 November,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 November,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 November,National excluding Dublin - all residential properties,Base 2015=100,156.3
Residential Property Price Index,2005 November,National excluding Dublin - houses,Base 2015=100,153.5
Residential Property Price Index,2005 November,National excluding Dublin - apartments,Base 2015=100,207.8
Residential Property Price Index,2005 November,Border - houses,Base 2015=100,
Residential Property Price Index,2005 November,Midland - houses,Base 2015=100,
Residential Property Price Index,2005 November,West - houses,Base 2015=100,
Residential Property Price Index,2005 November,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 November,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 November,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 November,South-West - houses,Base 2015=100,
Residential Property Price Index,2005 December,National - all residential properties,Base 2015=100,140.7
Residential Property Price Index,2005 December,National - houses,Base 2015=100,136.5
Residential Property Price Index,2005 December,National - apartments,Base 2015=100,166.4
Residential Property Price Index,2005 December,Dublin - all residential properties,Base 2015=100,136.2
